rule,closed,open,skipped,realized_usd,unrealized_usd,combined_usd,return_pct,net_5bps_usd,net_10bps_usd
baseline,771,94,0,-991.9267682559561,1713.8032357715922,721.8764675156361,7.218764675156362,682.6539098475323,643.4313521794284
cooldown_4h,525,71,269,-581.1444007396412,1323.6641835240428,742.5197827844015,7.4251978278440145,715.5017486435833,688.483714502765
cooldown_24h,477,70,318,-783.5221469567983,1308.2915162132206,524.7693692564222,5.247693692564222,499.86504748549174,474.9607257145613
cooldown_48h,440,65,360,-724.3533826147415,1292.540683026271,568.1873004115295,5.681873004115294,544.6792367080214,521.1711730045134
cooldown_168h,343,56,466,-578.5384764640326,1089.8735705888173,511.33509412478475,5.113350941247847,492.62731045505524,473.91952678532573
loss_cooldown_24h,484,72,309,-815.090936515403,1487.4822722554852,672.3913357400822,6.723913357400823,646.84289048591,621.2944452317377
one_entry_per_token,108,10,747,-272.02809847785454,689.3958513639008,417.3677528860462,4.173677528860463,410.11711114873606,402.8664694114259
signal_reset,488,71,306,-501.6784418018754,1243.4766088812576,741.7981670793822,7.417981670793822,716.9406498254165,692.0831325714507
signal_reset_4h,476,70,319,-480.1403343848138,1243.4766088812576,763.3362744964438,7.633362744964438,738.8703319387695,714.4043893810953
